original_text,claims_labels,claims,text_length
"In the 11,400 years since the end of the last Ice Age, sea  level has risen at an average of 4 feet/century, though it is now rising  much more slowly because very nearly all of the land-based ice that is  at low enough latitudes and altitudes to melt has long since gone.""",NOT_ENOUGH_INFO,year since end last ice age sea level risen average feetcentury though rising much slowly nearly landbased ice low enough latitude altitude melt long since gone,160
“[Sea ice] also helps regulate the planet’s temperature by influencing the circulation of the atmosphere and ocean.,NOT_ENOUGH_INFO,sea ice also help regulate planet temperature influencing circulation atmosphere ocean,86
"This provides a direct, empirical causal link between CO2 and global warming.",REFUTES,provides direct empirical causal link co2 global warming,56
"""In fact global warming has stopped and a cooling is beginning.",NOT_ENOUGH_INFO,fact global warming stopped cooling beginning,45
"The IPCC (2013), USGCRP (2017), and USGCRP (2018) indicate that it is extremely likely that human influence has been the dominant cause of the observed warming since the mid-twentieth century.",SUPPORTS,ipcc usgcrp usgcrp indicate extremely likely human influence dominant cause observed warming since midtwentieth century,119
Previous IPCC reports tended to assume that clouds would have a neutral impact because the warming and cooling feedbacks would cancel each other out.,NOT_ENOUGH_INFO,previous ipcc report tended assume cloud would neutral impact warming cooling feedback would cancel,99
"“Global warming and climate change, even if it is 100% caused by humans, is so slow that it cannot be observed by anyone in their lifetime.",NOT_ENOUGH_INFO,global warming climate change even 100 caused human slow not observed anyone lifetime,85
"(2012 is now the hottest by a wide margin), but the USA only comprises 2% of the globe.",NOT_ENOUGH_INFO,hottest wide margin usa comprises globe,39
Hurricane Harvey gave Houston and the surrounding region a $125 billion lesson about the costs of misjudging the potential for floods,SUPPORTS,hurricane harvey gave houston surrounding region billion lesson cost misjudging potential flood,95
"As a result, the planet as a whole is becoming less reflective and absorbing more sunlight, which is accelerating global warming.",SUPPORTS,result planet whole becoming less reflective absorbing sunlight accelerating global warming,91
President Donald Trump sent a video message to Belgian citizens criticizing their government for being part of the Paris Climate Change Agreement.,NOT_ENOUGH_INFO,president donald trump sent video message belgian citizen criticizing government part paris climate change agreement,116
"Most of the atmospheric moisture originates in the tropical ocean, and the difference between surface and upper atmospheric temperature determines how much of the moisture rises into the atmosphere.",REFUTES,atmospheric moisture originates tropical ocean difference surface upper atmospheric temperature determines much moisture rise atmosphere,136
A third of Antarctic ice shelf risks collapse as our planet warms,SUPPORTS,third antarctic ice shelf risk collapse planet warms,52
"Duffy pointed out that his chart was from a single tide gauge station, near San Francisco, and that sea levels rise at different rates around the world",NOT_ENOUGH_INFO,duffy pointed chart single tide gauge station near san francisco sea level rise different rate around world,107
'Global warming' and 'climate change' mean different things and have both been used for decades.,NOT_ENOUGH_INFO,global warming climate change mean different thing used decade,62
"Because the collapse of vulnerable parts of the ice sheet could raise the sea level dramatically, the continued existence of the world’s great coastal cities — Miami, New York, Shanghai and many more — is tied to Antarctica’s fate.",SUPPORTS,collapse vulnerable part ice sheet could raise sea level dramatically continued existence world great coastal city miami new york shanghai many tied antarctica fate,164
Humans survived past climate changes,NOT_ENOUGH_INFO,human survived past climate change,34
"As the temperature has increased, so has the ability of scientists to determine whether specific events are linked to climate change.",SUPPORTS,temperature increased ability scientist determine whether specific event linked climate change,94
The 2nd law of thermodynamics is consistent with the greenhouse effect which is directly observed.,NOT_ENOUGH_INFO,2nd law thermodynamics consistent greenhouse effect directly observed,69
"A World Heritage site, it is currently under assault from unusually hot ocean temperatures,”",NOT_ENOUGH_INFO,world heritage site currently assault unusually hot ocean temperature,69
The measurements of the amount of CO2 made at the Mauna Loa Observatory are accurate and uncontaminated by any emissions from the volcano.,NOT_ENOUGH_INFO,measurement amount co2 made mauna loa observatory accurate uncontaminated emission volcano,90
"Despite the logarithmic relationship between CO2 and surface temperatures, atmospheric CO2 levels are rising so fast that unless we dramatically decrease our emissions, global warming will accelerate over the 21st Century.",NOT_ENOUGH_INFO,despite logarithmic relationship co2 surface temperature atmospheric co2 level rising fast unless dramatically decrease emission global warming accelerate 21st century,167
"In 1977, PDO switched to a warm phase.",NOT_ENOUGH_INFO,pdo switched warm phase,23
"A paper by Ross McKitrick, an economics professor at the  University of Guelph, and Patrick Michaels, an environmental studies  professor at the University of Virginia, concludes that half of the  global warming trend from 1980 to 2002 is caused by Urban Heat Island.",NOT_ENOUGH_INFO,paper ross mckitrick economics professor university guelph patrick michael environmental study professor university virginia concludes half global warming trend caused urban heat island,185
We have also been told the problem is DEFINITELY NOT a billions-year-old planet running through cycles where the temperature might fluctuate a bit.,NOT_ENOUGH_INFO,also told problem definitely not billionsyearold planet running cycle temperature might fluctuate bit,101
"Surface temperatures on Earth ""have stabilized.""",NOT_ENOUGH_INFO,surface temperature earth stabilized,36
The geological history of the planet shows major planetary climate changes have never been driven by a trace gas,REFUTES,geological history planet show major planetary climate change never driven trace gas,84
Eleven percent of all global greenhouse gas emissions caused by humans are caused by deforestation — comparable to the emissions from all of the cars and trucks on the planet.,REFUTES,eleven percent global greenhouse gas emission caused human caused deforestation comparable emission car truck planet,116
global temperatures have risen between 0.23F (0.13C) and 0.34F (0.19C) per decade,NOT_ENOUGH_INFO,global temperature risen 23f 13c 34f 19c per decade,51
Solar panels drain the sun's energy.,REFUTES,solar panel drain sun energy,28
The claim sea level isn’t rising is based on blatantly doctored graphs and conspiracy theories that are contradicted by empirical observational data.,SUPPORTS,claim sea level rising based blatantly doctored graph conspiracy theory contradicted empirical observational data,113
Climate change is because of El Niño.,SUPPORTS,climate change niño,19
"When stomata-derived CO2 (red) is compared to ice core-derived CO2 (blue), the stomata generally show much more variability in the atmospheric CO2 level and often show levels much higher than the ice cores.",NOT_ENOUGH_INFO,stomataderived co2 red compared ice corederived co2 blue stoma generally show much variability atmospheric co2 level often show level much higher ice core,154
[ocean acidification was ] First referenced in a peer-reviewed study in Nature in 2003,SUPPORTS,ocean acidification first referenced peerreviewed study nature,62
"Growers regularly pump CO2 into greenhouses, raising levels to three times that of the natural environment, to produce stronger, greener, healthier plants.”",SUPPORTS,grower regularly pump co2 greenhouse raising level three time natural environment produce stronger greener healthier plant,122
"When CO2 emissions are compared directly to CO2 levels, there is a strong correlation in the long term trends.",SUPPORTS,co2 emission compared directly co2 level strong correlation long term trend,75
"With marine ice cliff instability, sea-level rise for the next century is potentially much larger than we thought it might be five or 10 years ago",NOT_ENOUGH_INFO,marine ice cliff instability sealevel rise next century potentially much larger thought might five year ago,107
"While France and other G7 countries lamented the U.S. exit from the Paris climate accord, America’s air is already cleaner than that of any other country in the G7, except Canada with its scant population.",NOT_ENOUGH_INFO,france country lamented exit paris climate accord america air already cleaner country except canada scant population,116
"The grasslands, crops, forests and territorial waters of Australia absorb more carbon dioxide than Australia emits.",SUPPORTS,grassland crop forest territorial water australia absorb carbon dioxide australia emits,87
97% consensus on human-caused global warming has been disproven.,NOT_ENOUGH_INFO,consensus humancaused global warming disproven,46
Science entitled The Scientific Consensus on Climate Change (Oreskes 2004).,NOT_ENOUGH_INFO,science entitled scientific consensus climate change oreskes,60
"Last December, the respected  journal “Oceanography” published projections (see graphic below) for this rising acidity, measured by falling pH",NOT_ENOUGH_INFO,last december respected journal oceanography published projection see graphic rising acidity measured falling,109
Gone are the days when scientists drew a bright line dividing weather and climate.,SUPPORTS,gone day scientist drew bright line dividing weather climate,60
"However, volcanoes have had very little impact on the last 40 years of global warming.",NOT_ENOUGH_INFO,however volcano little impact last year global warming,54
"The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists",REFUTES,sun gone lockdown could cause freezing weather earthquake famine say scientist,78
"That drop in temperature came after what was described in the National Geographic as 'six decades of abnormal warmth'.""",REFUTES,drop temperature came described national geographic six decade abnormal warmth,78
The melting in the polar ice caps and in high altitude plains can lead to the dangerous release of methane gas,NOT_ENOUGH_INFO,melting polar ice cap high altitude plain lead dangerous release methane gas,76
"world temperatures, because they have gone up only very slowly, less than half as fast as the scientific consensus predicted in 1990",NOT_ENOUGH_INFO,world temperature gone slowly less half fast scientific consensus predicted,75
"CO2 increase is natural, not human-caused.",REFUTES,co2 increase natural not humancaused,36
"""There are other possible causes for climate change which could be associated with solar activity or related to variations in the temperature of the liquid core of the Earth, which is about 5,400 degrees Celsius.",NOT_ENOUGH_INFO,possible cause climate change could associated solar activity related variation temperature liquid core earth degree celsius,124
We expect to see record cold temperatures even during global warming.,NOT_ENOUGH_INFO,expect see record cold temperature even global warming,54
"Thousands of coral atolls have ""drowned"" in the past when they were unable to grow fast enough to maintain a presence at sea level",NOT_ENOUGH_INFO,thousand coral atoll drowned past unable grow fast enough maintain presence sea level,85
"As a result, ""The warmest  year on US record is now 1934.",REFUTES,result warmest year record,26
"During ""the recent global warming summit in Copenhagen, Nancy Pelosi and others stayed at a five-star hotel on a trip costing nearly $10,000 per person.""",NOT_ENOUGH_INFO,recent global warming summit copenhagen nancy pelosi others stayed fivestar hotel trip costing nearly per person,112
"But then, just over a year ago, Mike Wallace, a hydrologist with 30 years’ experience, noticed while researching his PhD that they had omitted some key information[…] his results were surprising: there has been no reduction in oceanic pH",NOT_ENOUGH_INFO,year ago mike wallace hydrologist year experience noticed researching phd omitted key information… result surprising reduction oceanic,134
"In the sugarcane region of El Salvador, as much as one-fifth of the population has chronic kidney disease, including over a quarter of the men, the presumed result of dehydration from working the fields they were able to comfortably harvest as recently as two decades ago.",NOT_ENOUGH_INFO,sugarcane region salvador much onefifth population chronic kidney disease including quarter men presumed result dehydration working field able comfortably harvest recently two decade ago,186
"Believers think the warming is man-made, while the skeptics believe the warming is natural and contributions from man are minimal and certainly not potentially catastrophic à la Al Gore.'",SUPPORTS,believer think warming manmade skeptic believe warming natural contribution man minimal certainly not potentially catastrophic gore,131
"Over the three years from 1979 to 1982 when CO2 emissions were decreasing due to the rapid increase in the price of oil that drastically reduced consumption, there was no change in the rate of increase in atmospheric concentration of CO2 proving that humans were not the primary source for the increase in concentration.'",REFUTES,three year co2 emission decreasing due rapid increase price oil drastically reduced consumption change rate increase atmospheric concentration co2 proving human not primary source increase concentration,202
contrary to the hypothesis that rising temperature is caused by increasing CO2.,REFUTES,contrary hypothesis rising temperature caused increasing co2,60
"President Obama's proposal calls for serious cuts in our own long-term carbon emissions, but China and India will still be allowed to increase their emissions.",NOT_ENOUGH_INFO,president obamas proposal call serious cut longterm carbon emission china india still allowed increase emission,111
Urban and rural regions show the same warming trend.,NOT_ENOUGH_INFO,urban rural region show warming trend,37
"Unlike the simple example of positive feedback we learned in high school, the increase from every round of feedback gets smaller and smaller, in the case of the enhanced greenhouse effect.",NOT_ENOUGH_INFO,unlike simple example positive feedback learned high school increase every round feedback get smaller smaller case enhanced greenhouse effect,141
The most recent IPCC report lays out a future if we limit global heating to 1.5°C instead of the Paris Agreement’s 2°C.,SUPPORTS,recent ipcc report lay future limit global heating 5°c instead paris agreement 2°c,82
"This requires us to work towards avoiding catastrophic possibilities rather than looking at probabilities, as learning from mistakes is not an option when it comes to existential risks.",NOT_ENOUGH_INFO,requires work towards avoiding catastrophic possibility rather looking probability learning mistake not option come existential risk,132
precipitation from global warming will make the world much greener,NOT_ENOUGH_INFO,precipitation global warming make world much greener,52
The exception to this ice loss is Antarctic sea ice which has been growing despite the warming Southern Ocean.,SUPPORTS,exception ice loss antarctic sea ice growing despite warming southern ocean,75
"The thermal expansion of the oceans, compounded by melting glaciers, resulted in the highest global sea level on record in 2015.",SUPPORTS,thermal expansion ocean compounded melting glacier resulted highest global sea level record,91
The majority of peer reviewed research at the time predicted warming due to increasing CO2.,NOT_ENOUGH_INFO,majority peer reviewed research time predicted warming due increasing co2,73
The models predicted about three times the amount of warming in the world we’ve seen since [1988].,NOT_ENOUGH_INFO,model predicted three time amount warming world seen since,58
97% consensus on human-caused global warming has been disproven,REFUTES,consensus humancaused global warming disproven,46
Thick arctic sea ice is in rapid retreat.,NOT_ENOUGH_INFO,thick arctic sea ice rapid retreat,34
"In other words, we have, trapped in Arctic permafrost, twice as much carbon as is currently wrecking the atmosphere of the planet, all of it scheduled to be released at a date that keeps getting moved up, partially in the form of a gas that multiplies its warming power 86 times over.",NOT_ENOUGH_INFO,word trapped arctic permafrost twice much carbon currently wrecking atmosphere planet scheduled released date keep getting moved partially form gas multiplies warming power time,177
The 2nd law of thermodynamics is consistent with the greenhouse effect which is directly observed.,SUPPORTS,2nd law thermodynamics consistent greenhouse effect directly observed,69
"“Yet, a new study of 60 climate models and scenarios shows this warning fails to take into account the fact that global warming will mean precipitation increases.",SUPPORTS,yet new study climate model scenario show warning fails take account fact global warming mean precipitation increase,116
Let’s find out by comparing the actual temperatures since 1979 with what the 32 families of climate models used in the latest U.N. report on climate science predicted they would be.,NOT_ENOUGH_INFO,let find comparing actual temperature since family climate model used latest report climate science predicted would,115
Warming causes more moisture in the air which leads to more extreme precipitation events.,SUPPORTS,warming cause moisture air lead extreme precipitation event,59
We're coming out of the Little Ice Age.,NOT_ENOUGH_INFO,coming little ice age,21
Renewable energy investment kills jobs.,REFUTES,renewable energy investment kill job,36
"The most interesting thing here is that the albedo forcings, in watts/sq meter seem to be fairly large.",SUPPORTS,interesting thing albedo forcings wattssq meter seem fairly large,65
The failure of the 2007 polar bear survival model is a simple fact that explodes the myth that polar bears are on their way to extinction.,NOT_ENOUGH_INFO,failure polar bear survival model simple fact explodes myth polar bear way extinction,85
"Migration patterns show people heading for warm states like Texas and Florida, not snowy Minnesota and Michigan.”",NOT_ENOUGH_INFO,migration pattern show people heading warm state like texas florida not snowy minnesota michigan,96
"CO2 limits won't cool the planet, but they can make the difference between continued accelerating global warming to catastrophic levels vs. slowing and eventually stopping the warming at hopefully safe levels.",NOT_ENOUGH_INFO,co2 limit wont cool planet make difference continued accelerating global warming catastrophic level slowing eventually stopping warming hopefully safe level,156
"The tax-payer funded National Oceanic and Atmospheric Administration  (NOAA) has become mired in fresh global warming data scandal involving  numbers for the Great Lakes region that substantially ramp up averages.""",NOT_ENOUGH_INFO,taxpayer funded national oceanic atmospheric administration noaa become mired fresh global warming data scandal involving number great lake region substantially ramp average,173
"Even if the warming were as big as the IPCC imagines, it would not be as dangerous as Mr. Brown suggests.",NOT_ENOUGH_INFO,even warming big ipcc imago would not dangerous brown suggests,62
"U.S. Sen. Ron Johnson ""led the fight to let polluters release unlimited amounts of carbon pollution and took nearly $225,000 from polluters.""",NOT_ENOUGH_INFO,sen ron johnson led fight let polluter release unlimited amount carbon pollution took nearly polluter,101
"""Skeptics hope that Postma’s alternative thermal model will lead  to the birth of a new climatology, one that actually follows the laws of  physics and properly physical modeling techniques...",NOT_ENOUGH_INFO,skeptic hope postma alternative thermal model lead birth new climatology one actually follows law physic properly physical modeling technique,141
"Human-produced carbon might be one of the factors [of climate change], but there’s simply no evidence that it is a significant one.",REFUTES,humanproduced carbon might one factor climate change simply evidence significant one,84
"“Our analyses do not indicate  acceleration in sea level in U.S. tide gauge records during the 20th  century,” the study’s authors concluded.",NOT_ENOUGH_INFO,analysis not indicate acceleration sea level tide gauge record 20th century study author concluded,98
The two most cited composites are PMOD and ACRIM.,NOT_ENOUGH_INFO,two cited composite pmod acrim,30
So it’s been a surprise to climate scientists that 2017 has been so remarkably warm — because the last El Niño ended a year ago.,NOT_ENOUGH_INFO,surprise climate scientist remarkably warm last niño ended year ago,67
Protecting and restoring forests would reduce 18% of emissions by 2030,NOT_ENOUGH_INFO,protecting restoring forest would reduce emission,49
"The number of record high temperature events in the United States has been increasing, while the number of record low temperature events has been decreasing, since 1950.",NOT_ENOUGH_INFO,number record high temperature event united state increasing number record low temperature event decreasing since,113
"If Hillary would have fact-checked her example of sea level rise in Norfolk, Virginia, she would have found out that the experts already know this is mostly due to the land there sinking.",SUPPORTS,hillary would factchecked example sea level rise norfolk virginia would found expert already know mostly due land sinking,121
Climate scientists use the 20th-century average as a benchmark for global temperature measurements.,NOT_ENOUGH_INFO,climate scientist use 20thcentury average benchmark global temperature measurement,82
"Peer-reviewed studies, geologic records, and all the studies have shown that we have actually cooled since the Roman Warming Period, and likely since the Medieval Warming Period.",REFUTES,peerreviewed study geologic record study shown actually cooled since roman warming period likely since medieval warming period,126
"“In 2013 the level of U.S. farm output was about 2.7 times its 1948 level, and productivity was growing at an average annual rate of 1.52%.",NOT_ENOUGH_INFO,level farm output time level productivity growing average annual rate,69
"California legislators have made it illegal for anyone to deny climate change, under threat of jail time.",SUPPORTS,california legislator made illegal anyone deny climate change threat jail time,78
The rate of global sea level rise on average has fallen by 40% the last century.,NOT_ENOUGH_INFO,rate global sea level rise average fallen last century,54
The planet’s average ground temperature has risen by around 1.62F (0.9C),NOT_ENOUGH_INFO,planet average ground temperature risen around 62f,50
Dropped stations introduce warming bias,NOT_ENOUGH_INFO,dropped station introduce warming bias,38
"""We have been grossly misled to think there is tens of thousands of times as much CO2 as there is!",NOT_ENOUGH_INFO,grossly misled think ten thousand time much co2,47
New photosynthesis study shows that Earth is not warming as predicted by climate models,REFUTES,new photosynthesis study show earth not warming predicted climate model,71
Global warming theory holds that one of the fingerprints of human-induced global warming is more rapid warming in the lower troposphere than at the surface (James Taylor),NOT_ENOUGH_INFO,global warming theory hold one fingerprint humaninduced global warming rapid warming lower troposphere surface james taylor,123
"“Today climate scientists are obsessed with the level of carbon dioxide in the atmosphere, a very very small part of the overall picture.",NOT_ENOUGH_INFO,today climate scientist obsessed level carbon dioxide atmosphere small part overall picture,91
"During a state House debate on a jobs and energy bill this week, Democrats offered an amendment that would put the Legislature on record saying that climate change is real and that humans are causing it.",REFUTES,state house debate job energy bill week democrat offered amendment would put legislature record saying climate change real human causing,136
"CO2 is increasing rapidly, and is reaching levels not seen on the earth for millions of years.",SUPPORTS,co2 increasing rapidly reaching level not seen earth million year,65
"Often the compensatory cooling, known as La Niña, is larger than the El Niño warming.”",NOT_ENOUGH_INFO,often compensatory cooling known niña larger niño warming,57
"However, satellite and surface measurements observe an enhanced greenhouse effect at the wavelengths that CO2 absorb energy.",SUPPORTS,however satellite surface measurement observe enhanced greenhouse effect wavelength co2 absorb energy,101
Global warming is causing snow to disappear.,SUPPORTS,global warming causing snow disappear,37
"Sea level rise, which was occurring long before humans could be blamed, has not accelerated.",REFUTES,sea level rise occurring long human could blamed not accelerated,64
"The sea level was 20 to 30 feet higher than it is today, implying that the ice sheets in both Greenland and Antarctica must have partly disintegrated, a warning of what could occur in the relatively near future if the heating of the planet continues unchecked.”",SUPPORTS,sea level foot higher today implying ice sheet greenland antarctica must partly disintegrated warning could occur relatively near future heating planet continues unchecked,171
"Some scientists believe that solar activity is more likely to influence today’s climate than carbon dioxide, and Dr Soon has compiled data showing temperature in America, Canada and Mexico rises and falls in line with solar activity.",NOT_ENOUGH_INFO,scientist believe solar activity likely influence today climate carbon dioxide soon compiled data showing temperature america canada mexico rise fall line solar activity,169
"“‘Those eruptions happened relatively early in our study period, which pushed down temperatures in the first part of the dataset, which caused the overall record to show an exaggerated warming trend,’ Christy said.",NOT_ENOUGH_INFO,eruption happened relatively early study period pushed temperature first part dataset caused overall record show exaggerated warming trend christy said,151
Global warming theory holds that one of the fingerprints of human-induced global warming is more rapid warming in the lower troposphere than at the surface (James Taylor),NOT_ENOUGH_INFO,global warming theory hold one fingerprint humaninduced global warming rapid warming lower troposphere surface james taylor,123
"""a paper...in Science magazine concludes that the climate sensitivity—how much the earth’s average temperature will rise as a result of a doubling of the atmospheric concentration of carbon dioxide—likely (that is, with a 66% probability) lies in the range 1.7°C to 2.6°C, with a median value of 2.3°C.",REFUTES,paperin science magazine concludes climate sensitivity—how much earth average temperature rise result doubling atmospheric concentration carbon dioxide—likely probability lie range 7°c 6°c median value 3°c,205
"“as surface temperatures of the oceans warm up, the immediate response is more water vapor in the atmosphere.",SUPPORTS,surface temperature ocean warm immediate response water vapor atmosphere,72
global warming ceased around the end of the twentieth century and was followed (since 1997) by 19 years of stable temperature,REFUTES,global warming ceased around end twentieth century followed since year stable temperature,89
"Last year’s warmth was manifested across the planet, from the warm tropical ocean waters off the coast of northeastern Australia, where the Great Barrier Reef experienced its worst coral bleaching event on record and large scale coral death, to the Arctic, where sea ice hit regular monthly record lows and overall temperatures were also the warmest on record, at least from January through September 2016.",SUPPORTS,last year warmth manifested across planet warm tropical ocean water coast northeastern australia great barrier reef experienced worst coral bleaching event record large scale coral death arctic sea ice hit regular monthly record low overall temperature also warmest record least january september,296
Carbon dioxide is a non-condensable atmospheric gas like nitrogen and oxygen,NOT_ENOUGH_INFO,carbon dioxide noncondensable atmospheric gas like nitrogen oxygen,66
Most likely the primary control knob on climate change is the ocean waters and this environment that we live in.,SUPPORTS,likely primary control knob climate change ocean water environment live,71
"if we halved today’s atmospheric carbon dioxide content, all life would die.",NOT_ENOUGH_INFO,halved today atmospheric carbon dioxide content life would die,62
Infrared Iris will reduce global warming,NOT_ENOUGH_INFO,infrared iris reduce global warming,35
"Climate scientists could make far more money in other careers - most notably, working for the oil industry.",NOT_ENOUGH_INFO,climate scientist could make far money career notably working oil industry,74
We now know that the planetary energy balance is determined by the upper levels of the troposphere and that the saturation of the absorption at the central frequency does not preclude the possibility to absorb more energy.,NOT_ENOUGH_INFO,know planetary energy balance determined upper level troposphere saturation absorption central frequency not preclude possibility absorb energy,143
NOAA has adjusted past temperatures to look colder than they were and recent temperatures to look warmer than they were.,NOT_ENOUGH_INFO,noaa adjusted past temperature look colder recent temperature look warmer,73
Only very few peer-reviewed papers even go so far as to say that recent warming is chiefly anthropogenic.,NOT_ENOUGH_INFO,peerreviewed paper even far say recent warming chiefly anthropogenic,68
"The result did suggest the sea level  was increasing in the western Pacific, but this was offset by a drop in  the level near the Alaskan coast.",SUPPORTS,result suggest sea level increasing western pacific offset drop level near alaskan coast,88
Global warming is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017.,REFUTES,global warming myth say graph peerreviewed scientific paper published,69
"CO2 is increasing rapidly, and is reaching levels not seen on the earth for millions of years.",NOT_ENOUGH_INFO,co2 increasing rapidly reaching level not seen earth million year,65
"""a [cloudcover] change in the Tropics could lead to a negative feedback in the global climate, with a feedback factor of about –1.1, which if correct, would more than cancel all the positive feedbacks in the more sensitive current climate models"" (Lindzen et al.",NOT_ENOUGH_INFO,cloudcover change tropic could lead negative feedback global climate feedback factor correct would cancel positive feedback sensitive current climate model lindzen,163
There is long-term correlation between CO2 and global temperature; other effects are short-term.,SUPPORTS,longterm correlation co2 global temperature effect shortterm,60
"Two American researchers allege that U.S. government scientists have  skewed global temperature trends by ignoring readings from thousands of  local weather stations around the world, particularly those in colder  altitudes and more northerly latitudes, such as Canada.",NOT_ENOUGH_INFO,two american researcher allege government scientist skewed global temperature trend ignoring reading thousand local weather station around world particularly colder altitude northerly latitude canada,199
97% of climate experts agree humans are causing global warming.,SUPPORTS,climate expert agree human causing global warming,49
"“During ice ages, caused by wobbles in the Earth’s orbit, sea levels dropped more than 400 feet as ice piled up on land.",SUPPORTS,ice age caused wobble earth orbit sea level dropped foot ice piled land,71
"As a result, half of the people surveyed around the world last year said they thought climate change would make humanity extinct.",SUPPORTS,result half people surveyed around world last year said thought climate change would make humanity extinct,106
It takes as much energy to make a solar panel as it likely generates in its entire life.,NOT_ENOUGH_INFO,take much energy make solar panel likely generates entire life,62
"When South Australians buy electricity at $14,200/MWh, they are paying the equivalent of $400 a litre for petrol.",NOT_ENOUGH_INFO,south australian buy electricity mwh paying equivalent litre petrol,67
We didn't have global warming during the Industrial Revolution.,NOT_ENOUGH_INFO,didnt global warming industrial revolution,42
”Global warming started to run out of steam over two decades ago… Half of the apparent global temperature increase from January 1910 to January 2000 is due to administrative adjustments.”,REFUTES,global warming started run steam two decade ago… half apparent global temperature increase january january due administrative adjustment,136
Local and regional sea levels continue to exhibit typical natural variability—in some places rising and in others falling.,NOT_ENOUGH_INFO,local regional sea level continue exhibit typical natural variability—in place rising others falling,100
"“Every day, nature puts twenty times as much carbon dioxide into the atmosphere as all of Earth industries.",SUPPORTS,every day nature put twenty time much carbon dioxide atmosphere earth industry,78
The divergence of tree-ring proxies from temperatures after 1960 is openly discussed in the peer-reviewed literature and the last two IPCC assessment reports.,NOT_ENOUGH_INFO,divergence treering proxy temperature openly discussed peerreviewed literature last two ipcc assessment report,110
climate models predict too much warming in the troposphere,NOT_ENOUGH_INFO,climate model predict much warming troposphere,46
"CO2 increase is natural, not human-caused",REFUTES,co2 increase natural not humancaused,36
This “blocking” effect means extreme events can unfold.”,NOT_ENOUGH_INFO,blocking effect mean extreme event unfold,41
The Sun and not human emissions of carbon dioxide may be the main cause of warmer temperatures in recent decades. There is a systemic bias in UN IPCCs data selection.,REFUTES,sun not human emission carbon dioxide may main cause warmer temperature recent decade systemic bias ipccs data selection,120
[South Australia] has the most expensive electricity in the world.,SUPPORTS,south australia expensive electricity world,43
"Global sea level data shows that sea level rise has been increasing since 1880 while future sea level rise predictions are based on physics, not statistics.",NOT_ENOUGH_INFO,global sea level data show sea level rise increasing since future sea level rise prediction based physic not statistic,118
No climate model has predicted a cooling of the Earth – quite the  contrary.,NOT_ENOUGH_INFO,climate model predicted cooling earth quite contrary,52
More than 500 scientists and professionals in climate and related fields have sent a 'European Climate Declaration' to the Secretary-General of the United Nations.,NOT_ENOUGH_INFO,scientist professional climate related field sent european climate declaration secretarygeneral united nation,109
"CO2 is a plant nutrient...it’s not a pollutant that threatens human civilization. If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.",REFUTES,co2 plant nutrientit not pollutant threatens human civilization co2 terrible planet installing co2 generator greenhouse would kill plant,136
"Natural climate solutions like ending deforestation and restoring degraded forests could, at the global level, create 80 million jobs, bring 1 billion people out of poverty and add US$ 2.3 trillion in productive growth.",NOT_ENOUGH_INFO,natural climate solution like ending deforestation restoring degraded forest could global level create million job bring billion people poverty add trillion productive growth,174
"""[Models] are full of fudge factors that are fitted to the existing climate, so the models more or less agree with the observed data.",NOT_ENOUGH_INFO,model full fudge factor fitted existing climate model less agree observed data,78
"As of today,JAXA shows that we have more ice than any time on this date for the past 8 years of Aqua satellite measurement for this AMSRE dataset.""",NOT_ENOUGH_INFO,todayjaxa show ice time date past year aqua satellite measurement amsre dataset,79
The interesting point is that it also seems each time they come across a new  dataset it is simply replaced.,NOT_ENOUGH_INFO,interesting point also seems time come across new dataset simply replaced,73
Most likely the primary control knob on climate change is the ocean waters and this environment that we live in.,NOT_ENOUGH_INFO,likely primary control knob climate change ocean water environment live,71
In those days you couldn’t have seen across the street for all the carbon emissions and the crap coming out of the chimneys.',NOT_ENOUGH_INFO,day seen across street carbon emission crap coming chimney,58
"We know that humans have most flourished during times of, what, warming trends. I think there are assumptions made that because the climate is warming, that that is necessarily a bad thing.",REFUTES,know human flourished time warming trend think assumption made climate warming necessarily bad thing,100
"Hocker is claiming that his model shows that the long-term upward trend in CO2 is explained by temperature, when his methods actually removed the long-term trend.",NOT_ENOUGH_INFO,hocker claiming model show longterm upward trend co2 explained temperature method actually removed longterm trend,113
The ozone layer is healing,SUPPORTS,ozone layer healing,19
"When stomata-derived CO2 (red) is compared to ice core-derived CO2 (blue), the stomata generally show much more variability in the atmospheric CO2 level and often show levels much higher than the ice cores.",NOT_ENOUGH_INFO,stomataderived co2 red compared ice corederived co2 blue stoma generally show much variability atmospheric co2 level often show level much higher ice core,154
the U.S. Climate Reference Network[...] finds there has been no warming for the past 14 years at least,REFUTES,climate reference network find warming past year least,54
Global warming slowing down? Ironic study finds more CO2 has slightly cooled the planet,REFUTES,global warming slowing ironic study find co2 slightly cooled planet,67
The main reason behind this mid-century cooling was global dimming due to anthropogenic sulfate aerosol emissions.,SUPPORTS,main reason behind midcentury cooling global dimming due anthropogenic sulfate aerosol emission,95
